id;name;area_id;area_name;salary_from;salary_to;salary_currency;url;employer_id;employer_name;snippet_requirement;snippet_responsibility;schedule_id;schedule_name;experience_id;experience_name
99067076;Младший Разработчик С++;1;Москва;100000;;RUR;https://api.hh.ru/vacancies/99067076?host=hh.ru;8327;TrueConf;Хорошее знание <highlighttext>c++</highlighttext>, stl. Понимание принципов ООП. Умение работать с системой контроля версий Git. Общее понимание принципов работы с мультимедийными...;Исследования в области обработки и передачи мультимедиа данных с целью внедрения наработок в клиентские и серверные продукты. Разработка новой функциональности...;fullDay;Полный день;noExperience;Нет опыта
99609354;DevOps-инженер AWS;76;Ростов-на-Дону;400000;1000000;RUR;https://api.hh.ru/vacancies/99609354?host=hh.ru;929796;ГРУППА МЕГАПОЛИС;Отличные навыки скриптов (PowerShell, Bash, <highlighttext>Python</highlighttext>). - Опыт работы с системами контроля версий (Git, GitHub, GitLab). - Знание методологий Agile, CI/CD...;Проектирование, построение и поддержка облачной инфраструктуры на платформах AWS. - Автоматизация процессов развертывания, конфигурации и управления инфраструктурой с помощью IaC. - ;remote;Удаленная работа;between3And6;От 3 до 6 лет
100365793;Стажер-разработчик 1С;88;Казань;42000;56000;RUR;https://api.hh.ru/vacancies/100365793?host=hh.ru;172;1C-Рарус;Знание баз данных и базовых алгоритмов. Умение писать код на любом <highlighttext>языке</highlighttext> программирования. Умение вникать в задачу и работать в...;Обучение по разработке информационных систем по выбранному направлению на <highlighttext>языке</highlighttext> 1С с последующим карьерным ростом внутри компании.;fullDay;Полный день;noExperience;Нет опыта
100712861;Системный администратор;92;Тула;127000;129000;RUR;https://api.hh.ru/vacancies/100712861?host=hh.ru;1686455;Императорский Тульский оружейный завод;Опыт администрирования почтовых систем MS Exchange, Zimbra. Опыт администрирования СУБД (MS <highlighttext>SQL</highlighttext> Server, PostgreSQL). Базовые знания Linux. Базовые навыки настройки...;Конфигурирование и администрирование серверного оборудования, СХД. Администрирование систем виртуализации (VMWare ESXi, MS Hyper-V). Построение схем новых участков ЛВС, конфигурирование...;fullDay;Полный день;between3And6;От 3 до 6 лет
101125199;Senior front-end разработчик (TypeScript, React);1;Москва;280000;400000;RUR;https://api.hh.ru/vacancies/101125199?host=hh.ru;205152;Mindbox;;Ищем опытного front-end разработчика для создания новых интерфейсов и улучшения платформы фронтенда. Ожидаем самостоятельного проектирования и реализации задач, сложных...;fullDay;Полный день;between3And6;От 3 до 6 лет
101946018;Junior Java Developer;4;Новосибирск;65000;110000;RUR;https://api.hh.ru/vacancies/101946018?host=hh.ru;2166518;Динамика;Понимание принципов ООП, понимание алгоритмов и структур данных, знание <highlighttext>Java</highlighttext> Core. Представление о реляционных базах данных (Oracle, MySQL, PostgreSQL и...;Разработка нового функционала под контролем ментора, развитие существующих систем. Поддержка работоспособности существующего кода, рефакторинг.;fullDay;Полный день;between1And3;От 1 года до 3 лет
102619875;Инженер технической поддержки L2 (Санкт-Петербург, офис);2;Санкт-Петербург;120000;;RUR;https://api.hh.ru/vacancies/102619875?host=hh.ru;246739;Haulmont;Детальное понимание предметной области заказчика и инфраструктуры функционирования системы. - Накопление базы знаний. - Имеет опыт работы в аналогичной должности от 1...;Конфигурирование системы посредством имеющегося инструментария системы. - Взаимодействие с проектной командой и со смежными подразделениями. - Владеет <highlighttext>SQL</highlighttext> (составление запросов).;fullDay;Полный день;between1And3;От 1 года до 3 лет
102827447;Ведущий инженер-программист (направление 1С);66;Нижний Новгород;;166000;RUR;https://api.hh.ru/vacancies/102827447?host=hh.ru;1107065;Теплоэнерго;Знание и опыт работ с различными СУБД (MS <highlighttext>SQL</highlighttext>, Postgres Pro). Знание средств проектирования баз данных, методов верификации структуры, методов...;Внедрении и/или разработка «с нуля» новых прикладных решений на платформе 1С. Текущее сопровождение и функциональное развитие существующих информационных...;fullDay;Полный день;between1And3;От 1 года до 3 лет
103022074;Специалист по проверке документов;79;Саратов;28000;;RUR;https://api.hh.ru/vacancies/103022074?host=hh.ru;9498120;Яндекс Команда для бизнеса;Внимателен к деталям. Ответственно подходишь к выполнению задач. Владеешь компьютером и имеешь высокоскоростной интернет для удаленной работы. Любишь работать в...;Проводить визуальный контроль документов. Заполнять карточки водителей.;remote;Удаленная работа;noExperience;Нет опыта
104058114;Специалист учебного центра;1;Москва;150000;;RUR;https://api.hh.ru/vacancies/104058114?host=hh.ru;160436;Болид, НВП;...умение находить общий <highlighttext>язык</highlighttext> с разными людьми. Опыт педагогической деятельности. Опыт разработки электронных устройств или программного обеспечения на С/<highlighttext>С++</highlighttext>.;Разработка обучающих курсов. Проведение лекций и практических занятий. Проведение вебинаров. Оценка обучающихся, планирование их развития.;flexible;Гибкий график;between1And3;От 1 года до 3 лет
